,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
10,2022-09-27 18:56:49+00:00,1574835468973346848,https://twitter.com/saljsports/status/1574835468973346848,saljsports,SocialNewsDesk,"Salina, Kansas",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/MsDGAbORky,1,0
11,2022-09-27 18:56:49+00:00,1574835468931325952,https://twitter.com/CJOnlinesports/status/1574835468931325952,CJOnlinesports,SocialNewsDesk,"Topeka, KS",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/LKFeh44aHQ,0,1
12,2022-09-27 18:56:49+00:00,1574835468885266451,https://twitter.com/DMRsports/status/1574835468885266451,DMRsports,SocialNewsDesk,"Des Moines, Iowa",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/EeHJBdpj5h,0,0
13,2022-09-27 18:56:49+00:00,1574835468864192513,https://twitter.com/AmesTribSports/status/1574835468864192513,AmesTribSports,SocialNewsDesk,"Ames, Iowa",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/l50pXWZYAn,0,0
14,2022-09-27 18:56:49+00:00,1574835468860100609,https://twitter.com/DMRCyclones/status/1574835468860100609,DMRCyclones,SocialNewsDesk,"Des Moines & Ames, Iowa",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/NZqdFCHfDh,2,0
15,2022-09-27 18:56:49+00:00,1574835468855906317,https://twitter.com/AmesTribNews/status/1574835468855906317,AmesTribNews,SocialNewsDesk,"Ames, Iowa",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/IN4WrSrnhA,1,0
16,2022-09-27 13:00:59+00:00,1574745919307874304,https://twitter.com/DerekJohnson05/status/1574745919307874304,DerekJohnson05,Buffer,"Seward, NE","Should potential #Huskers head coaches get extra consideration points based on potential transfers they could bring? If so, Lance Leipold should get a ton of points if Jalon Daniels comes with him #Nebraska #gbr",0,0
17,2022-09-27 00:39:58+00:00,1574559438358331392,https://twitter.com/KURealist/status/1574559438358331392,KURealist,Twitter Web App,LFK,"I think the most noticeable thing about this season is the fact Jalon Daniels has thrown only 1 int. We may not score every single drive, but not tossing the ball to the other team is a sure fire way to help the wins roll in.",60,0
18,2022-09-27 00:34:37+00:00,1574558092469055491,https://twitter.com/KURealist/status/1574558092469055491,KURealist,Twitter Web App,LFK,Jalon Daniels had better stats in every way... https://t.co/C6XWlLVsl4,90,5
19,2022-09-26 15:33:02+00:00,1574421798455857154,https://twitter.com/KURealist/status/1574421798455857154,KURealist,Twitter Web App,LFK,@kansas247 Jalon Daniels would easily beat Stetson Bennett.,12,0
20,2022-09-26 13:10:26+00:00,1574385910598307846,https://twitter.com/JokerMagHQ/status/1574385910598307846,JokerMagHQ,Twitter for iPhone,"Philadelphia, PA","The Jayhawks quarterback, Jalon Daniels, has his name in Heisman conversation. 

Head Coach Lance Leipold is a D3 success story as well. He won six national championships at @WarhawkFootball before landing the HC job at Buffalo, and now Kansas.",4,1
21,2022-09-25 16:29:53+00:00,1574073718384492548,https://twitter.com/MSwain247/status/1574073718384492548,MSwain247,Twitter Web App,,"Podcast! @KFlaherty247 and I break down #KUfball's win over Duke and discuss Jalon Daniels' greatness and how KU has progressed this season and under Lance Leipold.

YouTube link: https://t.co/76Cp4nF5Os

Podcast link: https://t.co/MGj3V7jjLF https://t.co/m5aW8OGA0W",12,3
22,2022-09-25 13:24:15+00:00,1574027001077325829,https://twitter.com/KURealist/status/1574027001077325829,KURealist,Twitter Web App,LFK,Jalon Daniels has never not been first lmfao https://t.co/S4cWMsSAeK,48,1
23,2022-09-25 05:11:12+00:00,1573902918126039041,https://twitter.com/Hoops227_Ins/status/1573902918126039041,Hoops227_Ins,dlvr.it,"Boise, ID","https://t.co/zMtWZwYdl8 Lance Leipold &amp; Jalon Daniels React to Kansas Jayhawks Historic 4-0 Start, Kansas Fan Support https://t.co/cZR0nSmeoF https://t.co/XWAGPPRxvM",0,1
